fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/02 18:00:00.000;4;6;;;;;;;0;993;0;0.8;16.2;196.3;0.8;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;11.1
2019/05/02 18:00:00.000;59;65;;15;23.4;;0.6;;;995.5;0;100;15.5;274;0.9;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;11.1
2019/05/02 18:00:00.000;15;20;;;;;3.3;;;998.1;0;100;15.1;281.9;1.2;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;11.1
2019/05/02 19:00:00.000;3;16;;;;;;;0;993.8;0;0.8;16.3;205.8;1.6;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;9.3
2019/05/02 19:00:00.000;77;71;;14.1;26.6;;0.9;;;996.2;0;100;15.6;321.6;0.4;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;9.3
2019/05/02 19:00:00.000;14;30;;;;;3.5;;;999;0.1;100;15.1;323.6;1;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;9.3
2019/05/02 20:00:00.000;11;25;;;;;;;0;994;0;0.8;16.1;210.2;0.4;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;11.1
2019/05/02 20:00:00.000;72;80;;14.1;26.3;;1;;;996.9;0;100;15.5;347.3;0.2;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;11.1
2019/05/02 20:00:00.000;13;22;;;;;3.7;;;999;0;100;15;317.3;0.4;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;11.1
2019/05/02 21:00:00.000;16;24;;;;;;;0;994;0;0.8;15.6;336.4;0.2;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;13
2019/05/02 21:00:00.000;68;62;;12.2;20.2;;0.8;;;997;0;100;15.4;280.6;0.1;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;13
2019/05/02 21:00:00.000;17;33;;;;;4.4;;;999;0;100;14.9;352;0;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;13
